symbol,22Rv1,451Lu,647V,786-0,A-673,A101D,A2058,A2780,A375,A427,A498,A549,ACHN,AGS,BFTC-905,BT-20,BT-474,BT-549,CAKI-1,CAL-120,CAL-148,CAL-51,CAMA-1,CAOV3,CCRF-CEM,COLO 205,COLO 792,COLO 800,COLO 829,Calu-3,Calu-6,DMS 114,DU-145,DU4475,EKVX,Evsa-T,G-361,HCC-2998,HCC1143,HCC1187,HCC1395,HCC1419,HCC1428,HCC1500,HCC1569,HCC1806,HCC1937,HCC1954,HCC38,HCC70,HCT-15,HCT116,HDLM-2,HOP-62,HOP-92,HS 578T,HT-1197,HT-1376,HT144,HT29,Huh-7,IGROV1,IPC-298,IST-MEL1,J82,K-562,KATO III,KM12,KMS-11,KU-19-19,L-1236,L-428,LB2518-MEL,LOVO,LOX IMVI,LS513,M14,MCF7,MDA-MB-157,MDA-MB-175-VII,MDA-MB-231,MDA-MB-361,MDA-MB-415,MDA-MB-453,MDA-MB-468,MDAMB436,MFM-223,MMAc-SF,MOLT-4,MZ-MEL-2,MZ-MEL-7,MeWo,Mel Ho,NCI-H1299,NCI-H1437,NCI-H1563,NCI-H1703,NCI-H1793,NCI-H1975,NCI-H2085,NCI-H2170,NCI-H2228,NCI-H226,NCI-H2291,NCI-H3122,NCI-H322M,NCI-H358,NCI-H460,NCI-H522,NCI-H747,NCI-H838,NCIH1650,NCIH2122,NCIH23,NCIH520,OCUBM,OV90,OVCAR-4,OVCAR-5,OVCAR-8,OVCAR3,PA1,PC-3,RD,RKO,RPMI-8226,RPMI7951,RT-112,RT-4,RVH-421,RXF 393,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SKMEL30,SKMES1,SN12C,SNB-75,SNU-16,SR,SW-620,SW48,SW780,SW837,SW900,SW948,T-47D,T24,T98G,TC-71,TCCSUP,TK-10,U251,UACC-257,UACC-812,UACC62,UM-UC-3,UO-31,UWB1289,VCAP,VM-CUB-1,WM115,WT2-iPS
CXCL14,0,0,0,0,-1,-1,0,0,0,1,1,0,0,0,-1,0,0,1,1,1,0,0,1,1,0,1,-1,-1,-1,1,0,0,-1,0,-1,0,0,0,1,0,-1,-1,-1,0,0,0,1,0,0,-1,0,-1,0,1,0,-1,-1,1,0,0,-1,0,-1,0,1,0,-1,0,0,0,1,0,0,1,0,1,0,1,-1,0,0,-1,0,0,0,1,0,1,0,1,0,0,-1,0,0,0,1,1,0,1,-1,1,0,-1,0,0,-1,1,1,1,-1,0,1,1,1,-1,0,1,1,0,1,0,-1,0,0,0,-1,0,0,1,0,-1,1,1,1,1,0,0,1,0,0,0,-1,1,0,0,1,1,-1,-1,0,1,1,-1,1,-1,1,-1,0,-1,1,-1,-1,0,-1,0,0
CXCL16,-1,1,1,0,0,0,-1,0,-1,0,1,1,1,0,-1,1,-1,1,-1,-1,-1,0,-1,-1,0,-1,-1,1,-1,-1,1,0,0,0,-1,-1,-1,0,0,0,0,1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,0,0,-1,0,-1,1,-1,0,0,-1,2,-1,1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,0,0,1,-1,-1,-1,1,0,-1,1,0,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,0,1,-1,-1,-1,0,-1,0,1,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,0,1,0,0,-1,-1,0,-1,0,0,-1,-1,-1,1,0,-1,0,1,-1,1,-1,0,0,0
CXCL2,0,-1,0,-1,-2,1,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,0,1,0,-1,2,1,0,-1,1,0,-1,0,0,0,0,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,0,0,0,1,-1,0,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,0,-1,0,1,0,0,-1,0,0,-1,0,-1,0,-1,-1,0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-2,-1,0,0
CXCL3,0,-1,0,-1,-2,1,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,0,1,0,-1,2,1,0,-1,1,0,-1,0,0,0,0,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,0,0,0,1,-1,0,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,0,-1,0,1,0,0,-1,0,0,-1,0,-1,0,-1,-1,0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,2,-1,0,0
CXCL5,0,-1,0,-1,-2,1,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,0,1,0,-1,2,1,0,-1,1,0,-1,0,0,0,0,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,0,0,0,1,-1,0,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,0,-1,0,1,0,0,-1,0,0,-1,0,-1,0,-1,-1,0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,2,-1,0,0
CXCL6,0,-1,0,-1,-2,1,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,0,1,0,-1,2,1,0,-1,1,0,-1,0,0,0,0,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,0,0,0,1,-1,0,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,0,-1,0,1,0,0,-1,0,0,-1,0,-1,0,-1,-1,0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,2,-1,0,0
CXCL8,0,-1,0,-1,-2,1,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,0,1,0,-1,2,1,0,-1,1,0,-1,0,0,0,0,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,0,0,0,1,-1,0,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,0,-1,0,1,0,0,-1,0,0,-1,0,-1,0,-1,-1,0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,2,0,0,0
CXCL9,0,-1,0,-1,-2,1,0,0,-1,0,-1,-1,0,0,-1,0,2,-1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-2,-1,-1,0,-1,0,0,-1,0,-1,-1,-1,1,1,0,-1,1,0,-1,0,0,0,0,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,0,-1,0,1,-1,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,0,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,0,-1,0,1,0,0,-1,0,0,-1,0,-1,0,-1,-1,0,1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,2,0,0
CXCR1,0,1,0,0,0,1,0,0,-1,0,-1,0,1,0,0,0,0,-1,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,-1,-1,0,0,0,0,-1,-1,1,0,0,-1,-1,0,0,1,-1,-1,0,0,-1,0,1,1,-1,-1,-1,0,0,0,-1,1,0,0,1,-1,0,-1,-1,0,-1,0,-1,1,-1,-1,0,0,0,1,0,0,-1,-1,-1,1,0,1,-1,0,1,0,-1,0,0,0,1,1,1,0,-1,0,1,0,0,0,1,0,1,-1,0,0,0,2,1,-1,1,0,0,0,-1,1,0,1,-1,1,0,0,0,1,0,-1,-1,0,0,0,-1,0,1,1,-1,-1,1,1,-1,1,0,0,-1,0,-1,-1,-1,0,0,-1,1
CXCR2,0,1,0,0,0,1,0,0,-1,0,-1,0,1,0,0,0,0,-1,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,-1,-1,0,0,0,0,-1,-1,1,0,0,-1,-1,0,0,1,-1,-1,0,0,-1,0,1,1,-1,-1,-1,0,0,0,-1,1,0,0,1,-1,0,-1,-1,0,-1,0,-1,1,-1,-1,0,0,0,1,0,0,-1,-1,-1,1,0,1,-1,0,1,0,-1,0,0,0,1,1,1,0,-1,0,1,0,0,0,1,0,1,-1,0,0,0,2,1,-1,1,0,0,0,-1,1,0,1,-1,1,0,0,0,1,0,-1,-1,0,0,0,-1,0,1,1,-1,-1,1,1,-1,1,0,0,-1,0,-1,-1,-1,0,0,-1,1
CXCR4,-2,0,-2,0,0,1,0,0,-1,0,1,0,1,0,0,1,0,-1,0,-1,-1,0,-1,1,0,0,0,0,0,0,0,-1,-1,0,0,-1,1,0,0,0,-1,-1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,-1,0,0,1,0,1,1,-1,0,-1,0,-1,0,1,1,0,0,0,0,0,1,-1,0,0,-1,-1,-1,1,-1,0,0,0,0,0,0,-1,1,0,1,0,-1,0,0,0,0,0,0,-1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,-1,0,1,0,0,1,-1,0,0,1,-1,0,1,-1,1,-1,0,0,-1,0,-1,0,0,0,0,0,0,1,1,-1,-1,0,0,-1,1,0,0,-1,1,-1,-1,1,0,0,0,0
CXCR5,0,-1,-2,0,1,-1,-1,0,0,-1,-1,-1,0,0,-1,1,-1,-1,-1,1,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,1,-1,1,-2,-1,-1,-1,1,1,0,-1,0,0,0,-1,-1,-1,-1,0,1,1,-1,1,-1,0,-1,0,-1,0,1,0,-1,-1,1,0,-1,1,1,0,0,1,-1,-1,1,-1,-1,0,1,-1,-1,1,0,0,0,-1,-1,-1,1,0,0,-1,0,1,0,1,0,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,0,0,0,0,1,0,0,0,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,1,0,1,1,1,1,1,1,0,-1,0,-2,-1,-1,0,-1,1,1,2,1,0,0,1
CXCR6,0,0,0,0,-2,-1,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,-1,1,0,0,-1,-1,0,-1,0,-1,1,-1,0,0,-1,0,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,0,0,0,0,0,1,-1,0,0,-1,1,-1,0,0,1,1,-1,0,-1,0,0,0,1,0,0,0,0,-1,-1,1,0,-1,-1,0,-1,-1,-1,-1,0,0,1,0,-1,-1,-1,1,0,1,0,0,-1,-1,-1,1,-1,-1,0,-1,0,-1,1,0,-1,-1,-2,-1,-1,-1,0,1,0,0,1,0,0,0,1,0,0,0,-1,1,0,0,1,0,1,-1,-1,-1,1,0,-1,0,0,0,-1,-1,-1,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,1,-1,1,0,0,0
CXXC4,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,0,1,-1,0,-1,0,0,1,1,0,-1,0,0,0,0,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,0,-1,0,1,-1,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,-1,0,-1,1,-1,0,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,0,-1,0,1,0,0,-1,0,0,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,0,0
CYCS,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,-1,0,0,-1,1,1,1,1,1,1,0,1,0,1,1,-1,1,-2,1,1,-1,0,1,0,1,-1,1,0,0,-1,0,1,1,0,1,1,1,0,1,1,1,-1,0,1,0,1,0,1,-1,1,1,0,1,0,-1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,0,1,2,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,-1,-1,1,0,1,1,1,1,1,1,0,1,1,1,-1,1,0,1,1,1,0,1,1,-1,1,-1,0,0,1,0
CYLD,0,-1,0,0,0,-1,0,0,-1,0,0,0,1,0,1,1,0,-1,1,-1,-1,0,-2,-1,0,0,-1,-1,-1,1,0,0,0,-2,-1,-1,-1,0,-1,0,-1,-1,1,0,-1,0,1,1,0,1,0,0,-1,1,-1,-1,0,-1,0,-1,-1,0,1,0,-1,0,1,0,-1,0,0,0,1,0,-1,0,-1,-1,-1,1,-1,-1,1,1,1,-1,0,-1,0,0,0,0,-1,-1,1,-1,0,1,0,-1,0,1,-1,-1,-1,1,1,1,0,0,1,1,-1,0,1,-1,0,2,1,1,-1,0,0,0,0,1,0,0,-1,0,-1,-1,1,-2,-1,-1,-1,1,-1,0,1,-1,-1,0,1,0,0,0,0,-1,-1,0,0,-1,1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1
CYP17A1,0,0,0,0,0,-1,-1,0,0,0,1,0,1,0,0,-1,-1,0,0,-1,0,0,-1,1,0,0,-1,-1,-1,-1,-1,1,0,-1,0,-1,-1,0,-1,0,-1,-1,0,-1,-1,1,-1,-1,-1,-1,0,1,0,-1,0,-1,-1,-1,-1,0,-1,0,1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,-1,0,-1,-1,1,-1,0,0,0,0,-1,-1,0,1,1,0,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,0,-1,0,0,0,-1,-1,0,-1,0,0,1,0,-1,1,0,-1,-1,0,-1,-1,1,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-2,0,0,-1,0,1,-1,1,-1,-1,0,1,-1,0,-1,0,-1,0,-1,-1,0,1,-1,0
CYP27A1,0,1,0,0,0,1,0,0,-1,0,-1,0,1,0,0,-1,0,-1,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,-1,-1,0,0,0,0,-1,-1,1,0,0,-1,-1,0,0,1,-1,-1,0,0,-1,0,1,1,-1,-1,-1,0,0,0,-1,1,0,0,1,-1,0,-1,-1,0,-1,0,-1,1,-1,-1,0,0,0,1,0,0,-1,0,-1,1,0,1,-1,0,1,0,-1,0,0,0,1,1,1,0,-1,0,1,0,0,0,1,0,1,-1,0,0,0,2,1,-1,1,0,0,0,-1,1,0,1,-1,1,0,0,0,1,0,-1,0,0,0,0,-1,0,1,1,-1,-1,1,1,-1,1,0,0,-1,0,-1,-1,-1,0,0,-1,1
CYP7A1,1,1,1,1,0,-1,1,0,0,0,1,0,0,0,2,0,1,1,1,1,0,0,1,-1,0,0,-1,-1,1,-1,1,1,1,0,-2,-1,1,0,1,1,1,0,1,1,1,0,1,1,-1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,-1,1,0,0,1,0,-1,0,1,1,-1,0,-1,0,-1,1,1,1,1,0,1,0,0,2,-1,1,0,1,-1,1,0,0,0,1,0,-1,1,0,0,0,0,0,1,1,1,1,0,1,1,-1,1,0,-1,1,1,-1,1,1,0,1,-1,0,0,1,0,1,1,0,0,0,-1,0,-1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1
CYP8B1,0,0,0,0,-2,-1,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,-1,-2,0,0,0,-1,0,-1,0,-1,1,-1,0,0,-1,0,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,1,-1,0,0,-1,1,-1,0,0,1,1,-1,0,-1,0,0,0,1,0,0,0,0,-1,-1,1,0,-1,-1,0,-1,-1,-1,2,0,0,1,0,-1,-1,-1,1,0,1,0,0,-1,-1,0,1,-1,-1,0,-1,0,-1,1,0,-1,-1,-2,-1,-1,-1,0,1,0,0,1,0,0,0,1,0,0,0,-1,1,0,0,1,0,1,-1,-1,-1,1,0,-1,0,1,0,0,-1,-1,0,1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,1,-1,1,-2,0,0
CYSLTR2,0,-1,0,-1,-1,1,1,0,0,-1,-1,-1,0,1,-1,1,-1,0,1,-1,-1,0,0,-1,0,1,0,1,-1,-1,1,-1,-1,-2,-1,-2,-1,1,-1,1,1,-1,-1,-1,-1,0,-1,-1,1,-1,0,0,0,-1,-1,-1,0,-1,0,0,-1,-1,0,0,1,-1,1,0,-1,0,-1,-1,1,-2,0,1,0,-1,0,0,-1,0,-1,1,-2,0,0,-1,0,0,-1,0,0,-1,-1,-1,0,0,-1,1,1,-1,0,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-2,0,0,-1,0,0,-1,-1,1,-1,0,0,0,-1,1,0,1,2,-1,1,-1,1,0,0,-1,0
CYTH1,-1,1,1,0,0,0,0,0,-1,1,1,1,1,0,0,-1,-1,-1,1,1,0,0,0,0,0,1,1,1,-1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,1,1,-1,1,-1,0,0,0,0,1,-1,1,1,-1,-1,-1,0,-1,-1,0,1,-1,-1,0,1,-1,1,0,-1,1,0,0,1,-1,0,-1,1,-1,0,1,-1,-1,1,-1,-1,1,1,0,0,2,-1,0,1,1,0,-1,-1,1,0,0,0,0,1,-1,1,1,1,1,-1,-1,0,0,0,1,0,1,1,-1,-1,0,1,1,1,0,-1,0,0,0,-1,1,1,-1,1,0,2,0,1,1,0,-1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,-1,0,0,-1,-1,0,1,1,-1,-1
CYTH2,0,0,1,-1,0,1,0,0,0,0,1,1,-1,1,-1,1,0,-1,-1,1,0,0,0,-1,0,0,-1,-1,0,1,1,-1,-1,0,-1,0,1,0,0,1,-1,0,0,0,-1,1,-1,1,1,1,0,-1,-1,-1,-1,0,-1,-1,0,1,1,0,-1,1,-1,0,0,-1,1,0,1,-1,-1,0,0,-1,0,-1,0,1,0,0,-1,-1,0,-1,-1,-1,0,0,0,0,-1,-1,-1,0,0,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,0,1,-1,1,-1,0,0,-1,1,0,-1,0,0,1,0,1,-1,1,1,-1,1,-1,0,-1,-1,-1,0,0,0,-1,0,1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,0,1,1,-1,0
CYTH3,1,1,1,1,0,1,1,0,1,1,1,0,2,0,-1,1,1,1,1,0,1,0,0,-1,0,-1,-1,1,1,1,1,1,1,0,2,-1,2,2,-1,1,1,1,1,-1,0,2,1,1,-1,1,0,0,-1,1,2,1,0,1,0,1,0,1,2,1,-1,0,1,0,1,-1,1,1,1,1,0,1,0,1,0,1,0,0,1,-1,1,2,0,1,-2,0,1,0,1,1,0,1,1,1,2,1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,0,0,1,2,1,1,1,1,1,1,-1,-1,1,0,1,2,1,1,1,1,0,1,1,1,-1,1,0,1,1,2,1,2,1,-1,1,-1,0,1,1,-1
CYTH4,-1,1,-2,-1,0,1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,-1,1,0,1,0,-1,-1,-1,-1,-1,1,-1,0,1,0,1,0,-1,-2,1,0,-1,-1,-1,1,0,-2,-1,-1,-1,1,-1,-1,0,-1,1,0,1,0,-1,-1,0,-1,0,0,-1,-1,1,0,-1,0,0,-2,-1,1,-1,0,1,1,-1,-1,-1,1,0,2,-1,-1,-1,-1,0,0,1,-1,0,-1,0,-1,-1,1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,2,-1,-1,0,-1,0,0,0,-1,0,-1,1,-1,-1,1,-1,-1,1,1,-1,0,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,1,-1,-1,-1,0,1,-1,1
DAAM1,0,-1,0,0,0,-1,0,0,-1,0,-1,0,0,1,2,0,1,-1,-1,0,0,0,-1,0,0,0,-1,-1,0,0,0,-1,1,0,0,0,-1,0,1,0,-2,-1,-1,-1,-1,0,0,1,1,1,0,0,0,0,0,-1,1,-1,0,-1,1,0,0,-1,0,-1,-1,0,-1,0,0,1,-1,0,0,0,-1,1,-1,1,1,-1,0,1,1,-1,1,-1,0,0,0,0,0,-1,1,1,0,1,2,1,0,1,0,1,1,1,1,1,0,-1,0,0,1,0,0,-1,0,0,1,1,1,0,1,0,0,-1,-1,0,1,0,-1,0,-1,0,0,-1,-1,0,-1,1,0,0,1,0,0,1,1,0,1,-1,1,1,-1,-1,0,-1,0,-1,0,1,0,0,-1,0,1,0,0
DAAM2,0,-1,1,0,0,1,1,0,-1,0,-1,-1,0,0,0,1,0,1,-1,1,0,0,1,1,0,2,1,0,0,1,-1,1,0,-1,-1,1,-1,0,1,1,-1,0,-1,-1,1,1,0,1,-1,0,0,-1,-1,1,-1,1,-1,-1,0,-1,-1,-1,1,1,0,1,0,0,-1,0,1,-1,1,0,1,0,0,1,-1,-1,2,0,0,-1,1,-1,-1,-1,1,0,0,0,1,1,-1,-1,1,-1,0,1,-1,0,0,-1,-1,-1,-1,-1,2,0,-1,-1,-1,0,-1,1,0,1,0,-1,-1,0,0,0,0,-1,0,0,0,1,-1,1,0,1,0,-1,-1,0,1,-1,1,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,-1
DAB2IP,0,-1,-2,0,0,-1,0,0,0,-1,0,-1,-1,0,0,1,1,1,-1,0,0,0,0,1,0,1,1,-1,0,-1,0,-1,0,0,-1,0,1,0,-1,1,-1,1,0,1,-1,-1,1,0,-1,0,0,-1,0,-1,-1,-1,1,1,-1,-1,1,0,-1,0,1,0,1,0,0,1,-1,1,0,0,1,1,0,-1,-2,0,0,0,-1,0,-1,0,-1,1,0,0,1,0,-1,1,0,-1,0,1,0,-1,-1,1,0,1,0,-1,0,1,-1,1,-1,0,-1,-1,-1,1,1,-1,0,1,-1,0,0,1,1,1,-1,0,-1,-1,0,0,0,1,-1,0,0,0,-1,-1,1,1,-1,0,0,-2,0,0,-1,1,1,0,-1,0,0,1,1,-1,-1,-1,-1,-1,0,1,1,-1,0
DAPP1,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,-1,-1,0,0,-1,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,0,1,-1,1,-1,0,0,1,1,0,-1,0,0,0,0,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,0,-1,0,1,-1,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,-1,0,-1,1,-1,0,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,0,-1,0,1,0,0,-1,0,0,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,0,0
DAXX,0,-1,1,0,0,1,1,0,-1,0,-1,-1,0,0,0,1,0,1,-1,1,-1,0,1,0,0,-1,1,0,0,1,-1,1,0,-1,-1,1,-1,-1,1,1,-1,0,-1,-1,0,1,-1,1,1,0,0,-1,-1,0,-1,1,0,-1,0,-1,-1,-1,1,1,0,1,0,-1,0,1,1,-1,1,0,1,-1,0,0,-1,-1,1,-1,0,-1,1,-1,1,-1,1,0,0,0,0,1,-1,1,1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,1,0,1,0,1,-1,0,0,0,0,0,0,-1,0,1,-1,1,0,1,0,-1,-1,0,1,-1,1,0,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1
DBI,-2,0,0,0,0,1,0,0,-1,0,1,0,1,0,0,1,0,-1,0,1,-1,0,-1,1,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,-1,-1,0,0,1,0,-1,0,1,0,0,0,0,1,0,0,-1,-1,0,0,1,0,1,1,-1,0,-1,0,-1,0,1,1,0,0,0,0,0,1,-1,0,0,-1,-1,-1,1,1,0,0,0,0,0,0,-1,1,0,1,0,1,-1,0,0,0,0,1,-1,0,0,1,1,0,1,0,0,0,1,-1,1,-1,1,2,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,-1,0,0,-1,0,-1,0,0,0,0,-1,0,1,1,-1,-1,0,0,-1,1,0,0,-1,1,-1,-1,1,0,0,0,0
DCHS1,0,-1,1,0,-1,-1,0,0,-1,0,1,0,0,0,-1,1,1,-1,-1,1,0,0,-1,-1,0,1,0,-1,0,0,0,-1,-1,-1,0,0,1,0,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,1,0,1,-1,-1,-1,0,1,0,-1,0,0,0,-1,0,-1,1,1,0,1,-1,-1,1,0,-1,0,-1,-1,-1,0,1,0,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,1,0,0,-1,-1,-1,0,0,1,1,-1,-1,0,1,0,0,-1,1,1,-1,-1,0,1,0,-1,-1,-2,1,-1,1,0,0,0,-1,0,-1,-1,-1,-1,1,-1,0,0,0,0
