symbol,786-O,A-375,A-427,A-498,A-549,A-673,A2058,A2780,ACHN,BT-549,CCRF-CEM,COLO 205,Caki-1,Caov-3,DU145,EKVX,HCC2998,HCT 116,HCT 15,HDLM-2,HOP-62,HOP-92,HT-144,HT-29,Hs 578T,Huh-7,IGROV-1,K-562,KM12,L-1236,L-428,LOX-IMVI,LoVo,M14,MCF-7,MDA-MB-231,MDA-MB-436,MDA-MB-468,MMAc-SF,MOLT-4,MZ-MEL-7,NCI-H1650,NCI-H2122,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H520,NCI-H522,OCUB-M,OV-90,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,PA-1,PC-3,RD,RKO,RPMI-7951,RPMI-8226,RXF 393L,SF268,SF295,SF539,SK-MEL-2,SK-MEL-28,SK-MEL-30,SK-MEL-5,SK-MES-1,SK-OV-3,SN12C,SNB-75,SR,SW620,SW837,T-47D,T98G,TC-71,TK-10,U-251MG,UACC-257,UACC-62,UO-31,UWB1.289,VCaP,WM115
CCL20,0,-1,0,-1,0,0,0,0,1,-1,0,0,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,-1,1,1,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,-1,1,-1,0,0,2,0,1,-1,-1,1,0,1,0,1,0,0,1,0,0,-1,0,0,0,-1,1,0,1,0,1,1,0,-1,0,0
CCL21,0,0,-1,0,0,0,0,0,-1,1,0,0,-1,-1,1,-1,0,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,-1,0,0,2,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,0,-1,0,0,0,-1,-1,1,0,1,0,1,-1,-1,-1,2,-1,1,0,-1,0,-1,-1,0,-1,1,-1,-1,-1,-1,1,1
CCL22,0,-1,0,1,0,0,0,0,1,-1,0,-1,1,1,-1,-1,0,-1,0,-1,0,0,0,-1,-1,-1,0,0,-1,0,-1,-1,0,0,-1,-1,-1,1,-1,0,0,1,-1,-1,0,1,1,0,0,1,0,-1,-1,1,1,0,0,0,1,0,1,-1,-1,1,-1,-1,-1,-1,-1,1,0,1,-1,0,1,0,-1,0,-1,-1,-1,-1,-1,1,1,-1,-1
CCL23,0,0,1,1,1,-2,0,0,1,-1,0,1,0,-1,0,-1,0,0,0,-1,1,0,0,1,-1,-1,0,0,0,0,1,1,0,0,-1,0,-1,-1,1,1,0,0,1,0,0,-1,1,1,1,1,1,-1,-1,0,-1,0,-1,0,1,-1,0,-1,1,1,0,1,0,0,0,1,0,-1,-1,0,0,0,1,0,-1,1,1,0,0,-2,-1,1,0
CCL24,1,0,0,1,0,0,1,0,1,-1,0,0,0,1,0,1,1,0,0,-1,-1,1,1,1,1,-2,1,1,0,1,-1,0,1,1,1,0,0,-1,1,0,1,0,1,-1,1,-1,1,-1,1,1,-1,-1,-1,0,-1,0,1,1,-1,1,1,1,1,1,-1,1,-1,0,1,1,-1,-1,1,1,1,0,1,0,0,1,-1,1,2,1,1,1,1
CCL25,-1,-1,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,0,-1,0,1,0,0,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,0,1,0,1,1,1,-1,0,1,0,1,-1,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,-1
CCL26,1,0,0,1,0,0,1,0,1,-1,0,0,0,1,0,1,1,0,0,-1,-1,1,1,1,1,-2,1,1,0,1,-1,0,1,1,1,0,0,-1,1,0,1,0,1,-1,1,-1,1,-1,1,1,-1,-1,-1,0,-1,0,1,1,-1,1,1,1,1,1,-1,1,-1,0,1,1,-1,-1,1,1,1,0,1,0,0,1,-1,1,2,1,1,1,1
CCL27,0,0,-1,0,0,0,0,0,-1,1,0,0,-1,-1,1,-1,0,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,-1,0,0,2,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,0,-1,0,0,0,-1,-1,1,0,1,0,1,-1,-1,-1,2,-1,1,0,-1,0,-1,-1,0,-1,1,-1,-1,-1,-1,1,1
CCL28,1,0,1,1,0,0,1,0,0,1,0,1,1,1,2,2,0,0,0,0,1,1,1,1,1,2,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,2,1,1,0,1,1,1,1,-1,1,0,-1,-1,1,1,1,1,0,-1,0,0,2,1,0,1,1,1,1,0,1,1,-1,-1,1,-1,1,0,1,1,0
CCL3,0,-1,1,1,1,-2,0,0,1,-1,0,1,0,-1,0,-1,0,0,0,-1,1,0,0,1,-1,-1,0,0,0,0,1,1,0,-1,-1,0,-1,-1,1,1,0,0,0,-1,0,-1,1,1,1,1,1,-1,-1,0,-1,0,-1,-1,1,-1,0,-1,1,1,0,1,0,0,0,1,0,-1,-1,0,0,0,1,0,-1,1,1,0,0,-2,-1,1,0
CCL3L1,-1,-1,-1,-1,1,-2,-2,0,1,-1,0,1,0,-1,0,-1,1,0,0,-1,1,0,0,1,-2,-2,0,-1,-1,0,1,1,-2,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,1,1,0,-1,1,-2,-1,1,-1,0,-2,-1,1,-1,-1,-2,-1,-1,0,-1,-2,-1,-2,-1,-1,-1,-1,-2,-1,0,-1,-1,-1,1,1,0,0,2,-1,1,0
CCL3L3,-1,-1,-1,-1,1,-2,-2,0,1,-1,0,1,0,-1,0,-1,1,0,0,-1,1,0,0,1,-2,-2,0,-1,-1,0,1,1,-2,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,1,1,0,-1,1,-2,-1,1,-1,0,-2,-1,1,-1,-1,-2,-1,-1,0,-1,-2,-1,-2,-1,-1,-1,-1,-2,-1,0,-1,-1,-1,1,1,0,0,2,-1,1,0
CCL4,0,-1,1,1,1,-2,0,0,1,-1,0,1,0,-1,0,-1,0,0,0,-1,1,0,0,1,-1,-1,0,0,0,0,0,1,0,-1,-1,0,-1,-1,1,1,0,0,-1,-1,0,-1,1,1,1,-1,1,-1,-1,0,-1,0,-1,-1,1,-1,0,-1,-1,1,0,1,0,0,0,-1,0,-1,-1,0,0,0,-1,0,-1,1,1,0,0,-2,-1,1,0
CCL4L1,-1,-1,-1,-1,1,-2,-2,0,1,-1,0,1,0,-1,0,-1,0,0,0,-1,0,0,0,1,-2,-1,0,-1,-1,0,1,1,-2,-1,-1,0,-1,-1,1,-1,0,-1,-1,-1,0,-1,1,1,0,-1,1,-2,-1,1,-1,0,-2,-1,1,-1,-1,-2,-1,-1,0,-1,-2,-1,-2,-1,-1,-1,-1,-2,-1,0,-1,-1,-1,1,1,0,0,2,-1,1,0
CCL4L2,-1,-1,-1,-1,1,-2,-2,0,1,-1,0,1,0,-1,0,-1,0,0,0,-1,0,0,0,1,-2,-1,0,-1,-1,0,1,1,-2,-1,-1,0,-1,-1,1,-1,0,-1,-1,-1,0,-1,1,1,0,-1,1,-2,-1,1,-1,0,-2,-1,1,-1,-1,-2,-1,-1,0,-1,-2,-1,-2,-1,-1,-1,-1,-2,-1,0,-1,-1,-1,1,1,0,0,2,-1,1,0
CCL5,0,0,1,1,1,-2,0,0,1,-1,0,1,0,-1,0,-1,0,0,0,-1,1,0,0,1,-1,-1,0,0,0,0,1,1,0,0,-1,0,-1,-1,1,1,0,0,1,0,0,-1,1,1,1,1,1,-1,1,0,-1,0,-1,0,0,-1,0,-1,1,1,0,1,0,0,0,1,0,-1,-1,0,0,0,1,0,-1,1,1,0,0,-1,-1,1,0
CCL7,0,0,1,1,1,-2,0,0,1,-1,0,1,0,-1,0,-1,0,0,0,-1,1,0,0,1,-1,-1,0,0,0,0,1,1,0,0,-1,0,-1,-1,1,1,0,0,1,0,0,1,1,1,1,1,1,-1,-1,1,-1,0,-1,0,0,-1,0,-1,1,1,0,1,0,0,0,1,0,-1,-1,0,0,0,1,0,-1,1,1,0,0,-1,-1,1,0
CCL8,0,0,1,1,1,-2,0,0,1,-1,0,1,0,-1,0,-1,0,0,0,-1,1,0,0,1,-1,-1,0,0,0,0,1,1,0,0,-1,0,-1,-1,1,1,0,0,1,0,0,1,1,1,1,1,1,-1,-1,1,-1,0,-1,0,0,-1,0,-1,1,1,0,1,0,0,0,1,0,-1,-1,0,0,0,1,0,-1,1,1,0,0,-1,-1,1,0
CCNA1,-1,1,-1,-1,-1,0,1,0,0,1,0,1,1,-1,-1,-1,1,0,0,2,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,1,-1,0,-1,-1,0,1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,-1,0,-1,0,-1,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,1,-1,-1,-1,-2,0,-1,-1,-1,1,1,1,0,2,-1,0,1,0,-1
CCNA2,1,-1,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,0,-1,-1,-1,1,0,0,-1,-1,0,0,0,-1,0,0,-1,0,-1,0,1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,0,0
CCNB1,-1,0,1,1,1,-1,0,0,0,1,0,1,1,-1,0,-1,0,0,0,0,-1,-1,1,0,-1,-1,0,0,0,0,-1,1,1,1,0,0,-1,-1,1,0,0,0,1,0,-1,-1,1,-1,1,-1,0,0,-1,0,1,0,-1,0,0,-1,1,1,0,1,-1,0,1,0,0,0,1,1,0,1,1,0,1,1,-1,1,1,-1,0,0,-1,1,0
CCNB2,0,1,-1,0,1,0,0,0,0,-1,0,1,0,-1,0,1,0,-1,0,0,-1,-1,1,1,-1,-1,0,0,0,0,-1,0,1,1,-1,-1,0,-1,1,0,1,0,1,1,0,0,1,1,-1,0,1,0,-1,1,-1,0,-1,-1,0,1,1,0,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,1,1,0,-1,-1,-1,0
CCND1,0,0,2,-1,0,1,0,0,0,-1,0,0,0,1,0,2,1,-1,0,-1,1,1,-1,1,1,2,0,0,0,-1,-1,1,1,0,1,1,-1,1,1,0,-1,0,-1,0,2,1,-1,0,1,1,1,-1,0,1,1,0,1,0,1,0,1,1,1,1,-1,2,1,2,2,1,2,0,-1,0,1,0,1,0,-1,2,-1,-1,-1,1,1,1,0
CCND2,-1,0,2,-1,0,0,0,0,1,0,0,0,1,2,-1,0,0,0,0,-2,1,-1,0,0,-1,1,0,-1,0,1,1,1,1,0,-1,-1,1,-1,0,0,0,0,-1,0,1,1,-1,1,-1,1,0,-1,0,0,1,0,-1,0,-2,-1,0,0,1,0,0,0,-1,0,0,-1,-1,-1,-1,0,1,0,-2,0,-1,0,0,-1,0,1,-1,1,0
CCND3,0,-1,0,-1,-1,0,-1,0,0,1,0,2,-1,2,0,-1,0,-1,0,-1,1,-1,0,-1,1,-1,-1,1,0,1,-1,1,0,0,-2,2,-1,1,-1,1,0,-1,-1,0,0,-1,-1,-1,1,1,0,-1,1,0,-1,0,0,0,0,0,-1,-1,1,0,1,0,-1,1,-1,-1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0
CCNE1,-1,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,1,1,0,0,0,0,-1,-1,0,0,-1,0,-1,1,0,0,0,1,1,-1,0,-1,-1,0,0,1,1,2,2,1,1,0,-1,1,0,1,-1,1,0,1,1,-1,1,-1,-1,-1,0,0,0,0,-1,0,-1,-1,0,-1,0,-1,1,-1,1,1,0
CCNE2,1,0,-1,1,0,-2,1,0,0,1,0,1,1,0,1,1,0,2,0,0,1,1,0,1,2,1,1,0,1,0,1,1,0,-1,1,1,-1,-1,1,1,1,0,1,0,1,1,0,1,-1,1,1,-1,0,1,1,0,1,1,2,1,0,2,-1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2,1,0,1,1,1,1,1,0
CCNG1,0,0,1,1,1,-2,0,0,0,1,0,0,1,2,1,1,0,1,0,2,1,0,1,0,-1,0,0,0,0,0,1,1,1,0,1,0,-2,1,1,0,0,1,1,1,1,0,1,2,1,-1,0,1,2,1,1,0,1,0,0,-1,0,0,1,1,1,2,1,1,-1,-1,0,1,0,1,0,1,2,1,-1,1,1,0,0,0,1,0,0
CCNG2,-1,-1,0,-1,-1,-2,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,-1,0,0,0,-1,-1,0,-1,0,0,-1,-1,-1,1,0,0,-1,-1,0,0,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,0
CCR1,0,0,0,-1,-1,-2,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,1,1,-1,1,0,0,0,0,0,0,-1,0,-1,-1,-1,0,1,0,-1,0,-1,-1,0,-2,0,-1,-1,0,-1,0,1,0,1,0,0,1,0,-1,1,0,0,1,0,-1,1,-1,-1,1,0,0,0,-1,0,-1,-1,-1,0,-1,-1,1,-1,1,0
CCR10,0,-1,1,1,1,-2,0,0,1,-1,0,1,0,-1,0,-1,0,0,0,2,0,0,0,-1,-1,-1,0,0,0,0,1,1,0,0,-1,0,-1,-1,1,1,0,-1,1,0,0,-1,1,0,1,1,1,1,-1,1,1,0,1,1,1,-1,0,-1,1,1,-1,1,0,-1,0,1,1,1,-1,0,-1,0,1,0,-1,1,1,0,0,-1,0,-1,-1
CCR2,0,0,0,-1,-1,-2,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,1,1,-1,1,0,0,0,0,0,0,-1,0,-1,-1,-1,0,1,0,-1,0,-1,-1,0,-2,0,-1,-1,0,-1,0,1,0,1,0,0,1,0,-1,1,0,0,1,0,-1,1,-1,-1,1,0,0,0,-1,0,-1,-1,-1,0,-1,-1,1,-1,1,0
CCR3,0,0,0,-1,-1,-2,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,1,1,-1,1,0,0,0,0,0,0,-1,0,-1,-1,-1,0,1,0,-1,0,-1,-1,0,-2,0,-1,-1,0,-1,0,1,0,1,0,0,1,0,-1,1,0,0,1,0,-1,1,-1,-1,1,0,0,0,-1,0,-1,-1,-1,0,-1,-1,1,-1,1,0
CCR4,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,1,0,1,-1,1,1,-1,1,0,0,0,0,0,0,0,0,-1,-1,-1,0,1,0,-1,0,-1,0,0,-1,1,-1,-1,0,0,0,1,0,1,0,0,1,0,-1,1,0,0,1,0,-1,1,1,-1,1,0,0,0,-1,1,-1,-1,-1,0,-1,-1,1,0,1,0
CCR5,0,0,0,-1,-1,-2,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,1,1,-1,1,0,0,0,0,0,0,-1,0,-1,-1,-1,0,1,0,-1,0,-1,-1,0,-2,0,-1,-1,0,-1,0,1,0,1,0,0,1,0,-1,1,0,0,1,0,-1,1,-1,-1,1,0,0,0,-1,0,-1,-1,-1,0,-1,-1,1,-1,1,0
CCR6,0,-1,0,-1,-1,0,0,-1,0,1,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,1,0,-1,-1,-1,0,-1,-1,1,-1,0,-1,1,0,0,-1,-1,0,-1,-1,1,0,-2,0,-1,1,0,-1,2,0,1,0,1,0,-1,1,0,-2,0,0,-1,-1,1,0,-1,0,0,-1,0,-1,-1,2,-1,0,-1,-1,-1,-1,0,0
CCR7,0,-1,1,0,1,-2,0,0,1,-1,0,1,0,-1,0,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,1,1,0,0,-1,0,-1,-1,1,1,0,0,1,0,0,-1,1,-1,1,2,1,-1,-1,1,-1,0,-1,0,0,-1,0,-1,1,1,0,-1,0,-1,0,1,1,0,-1,0,0,0,1,0,-1,1,1,0,0,-1,-1,1,0
CCR8,0,0,0,-1,0,-2,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,-1,1,1,-1,1,0,0,0,0,0,0,-1,0,-1,-1,2,0,1,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,0,1,0,1,0,0,1,0,-1,1,0,0,1,0,-1,1,-1,-1,1,0,0,0,-1,0,-1,-1,-1,0,-1,-1,1,-1,1,0
CCR9,0,0,0,-1,-1,-2,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,1,1,-1,1,0,0,0,0,0,0,-1,0,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-2,0,-1,-1,0,-1,0,1,0,1,0,0,1,0,-1,1,0,0,1,0,-1,1,-1,-1,1,0,0,0,-1,0,-1,-1,-1,0,-1,-1,1,-1,1,0
CD14,0,0,1,1,0,-1,0,0,0,1,0,1,1,1,-1,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,1,-1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,-1,0,1,2,1,0,0,1,0,-1,-1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,-1,1,1,-1,-1,-1,-1,0,0
CD19,0,-1,0,1,0,0,0,0,1,-1,0,0,0,1,-1,-1,0,0,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,-1,0,0,0,1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,1,1,0,0,0,-1,1,1,-1,0,-1,0,0,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,1,2,-1,0
CD209,-1,-1,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,0,-1,0,1,0,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,0,1,0,1,1,1,-1,0,1,0,1,-1,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,-1
CD22,-1,0,0,1,1,0,0,0,-1,-1,0,0,0,0,-1,0,0,-1,0,2,1,-1,0,1,0,1,0,0,0,0,-1,0,0,0,-1,0,-1,1,-1,0,0,1,1,-1,-1,-1,-1,0,-1,1,1,1,1,1,-1,0,-1,1,0,0,-1,0,-1,1,1,-1,1,-1,-1,-1,0,0,0,0,-1,0,-1,-1,0,-1,-1,-1,0,-1,0,1,0
CD247,0,1,1,1,0,0,1,1,1,1,0,1,1,-1,0,0,0,0,0,0,0,1,0,0,0,-1,1,1,0,1,0,0,0,0,0,0,0,1,1,-1,2,0,1,0,0,1,1,1,1,1,0,0,1,1,-1,0,1,1,0,-1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,-1,1,0,0
CD28,0,-1,0,1,0,0,0,0,1,-1,0,0,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,1,1,1,0,1,0,0,1,-1,0,0,2,0,1,0,1,1,0,1,0,1,0,-1,1,0,0,-1,0,1,0,-1,-1,1,1,0,1,1,-1,1,0,0
CD36,1,1,0,2,1,0,1,0,2,1,0,0,1,2,1,2,1,1,0,0,0,2,1,1,1,0,1,1,1,1,1,0,1,2,2,0,0,-1,1,0,1,1,2,1,1,1,1,-1,1,2,1,1,1,0,-1,0,1,1,-1,1,1,1,1,2,0,1,1,0,1,0,-1,-1,1,1,1,0,1,2,0,1,0,1,2,2,1,1,1
CD38,0,0,0,0,-1,0,0,0,0,-1,0,0,1,-1,1,-1,0,0,0,-1,0,0,-1,0,-1,2,-1,0,0,-1,0,-1,0,-1,0,0,1,-1,-1,1,0,-1,-1,-1,1,1,-1,-1,0,0,-1,0,-1,0,-1,0,1,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,0,1,0,-1,-1,0,-1,0,-1,-1,-1,0,0,-1,-1,-1,1,0,0
CD3E,0,0,-1,-1,-1,1,-1,0,0,-1,0,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,1,0,-1,0,0,0,1,-1,1,1,0,1,1,-1,1,1,0,0,-1,-1,0,-1,1,-1,1,1,-1,1,-1,1,1,-1,0,0,0,0,0,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,1,1,1,0,-1,-2,-1,-1,-1,1,2,1,0
CD4,-1,0,2,-1,0,0,0,0,1,0,0,0,1,2,-1,0,0,0,0,2,1,-1,0,0,-1,1,0,-1,0,1,1,1,1,0,-1,-1,1,-1,0,0,0,0,-1,0,1,1,-1,1,-1,1,1,-1,0,0,1,0,-1,0,1,-1,0,0,1,0,0,0,-1,0,0,-1,-1,-1,-1,0,1,0,-2,0,-1,0,-2,-1,0,1,-1,1,0
CD40,0,1,1,1,0,0,0,0,0,1,1,1,1,-1,0,0,0,-1,0,-1,-1,1,1,1,1,1,1,0,1,1,0,1,0,1,-1,1,-1,0,1,1,1,1,1,0,1,1,1,-1,-1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,-2,1,1,1,1,0,1,-1,1,1,1,1,1,0
CD72,0,0,-1,0,0,0,0,0,-1,1,0,0,-1,1,1,-1,0,-1,0,0,-1,0,-1,-1,-1,1,0,-1,-1,1,1,1,0,-1,-1,0,0,2,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,0,-1,0,0,0,-1,-1,1,0,1,0,1,-1,-1,-1,2,-1,1,0,-1,0,-1,-1,0,-1,1,-1,-1,-1,-1,1,0
CD79A,-1,0,0,1,1,0,0,0,-1,-1,0,0,-1,1,0,-1,0,-1,0,-1,1,-1,0,1,0,1,0,0,0,1,-1,0,0,0,-1,0,-1,1,-1,0,0,1,1,-1,-1,-1,-1,0,-1,1,1,-1,1,1,-1,0,-1,1,0,0,-1,1,0,1,1,-1,1,-1,-1,-1,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,-1,0,1,-1
CD79B,0,-1,1,1,1,0,0,0,1,-1,0,1,2,0,0,1,0,2,0,-1,1,1,0,0,-1,-1,0,0,0,0,0,1,0,0,1,0,-1,-1,1,1,0,0,1,0,0,-1,1,1,1,1,0,0,-1,1,1,0,1,1,0,-1,0,-1,1,1,1,1,1,0,1,1,0,1,-1,0,1,0,1,0,1,1,1,1,1,-1,0,0,0
CD80,0,0,1,-1,0,0,0,0,0,0,0,1,1,2,-1,-1,0,0,0,-1,0,0,1,1,1,1,-1,-1,0,0,0,0,0,1,0,-1,1,0,-1,0,1,0,-1,-1,1,-1,-1,0,-1,1,0,1,1,0,1,0,1,0,-1,1,0,-1,-1,0,1,1,1,1,1,1,0,-1,0,0,0,0,0,0,-1,0,0,0,1,1,1,0,0
CD82,0,0,0,1,0,2,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,0,-1,-1,1,-1,-1,-1,0,0,0,0,1,1,-1,-1,0,1,1,1,0,0,0,-1,0,-1,-1,-1,1,1,1,1,1,-1,1,-1,2,1,0,1,-1,-1,1,2,0,0,-1,1,-1,0,1,0,1,-1,0,1,0,1,0,0,-1,1,-1,-1,1,-1,0,0
CD86,0,0,1,-1,0,0,0,0,0,0,0,1,1,2,-1,-1,0,0,0,-1,0,0,1,1,1,1,-1,-1,0,0,0,0,0,1,0,-1,1,0,-1,0,1,0,-1,-1,1,-1,-1,1,-1,1,0,1,1,0,1,0,1,0,-1,1,0,1,-1,0,1,1,1,1,0,1,0,-1,0,0,0,0,0,-1,-1,0,0,0,1,1,1,0,0
CD8A,0,0,1,1,1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,-1,0,1,0,1,1,0,1,-1,0,0,0,-1,-1,1,1,0,1,1,-1,1,0,0
CD8B,0,0,1,1,1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,-1,0,1,0,1,1,0,1,-1,0,0,0,-1,-1,1,1,0,1,1,-1,1,0,0
CDC25B,0,0,0,-1,1,0,0,0,0,0,1,1,-1,1,-1,1,0,-1,0,-1,1,-1,-1,0,1,1,1,-1,0,1,0,1,0,1,-1,0,-1,1,-1,1,1,0,1,-1,0,-1,1,-1,-1,1,1,-1,0,1,1,0,1,0,1,1,0,1,1,0,0,-1,1,1,1,-1,2,-1,1,0,1,-1,0,1,1,1,0,1,0,1,1,1,0
CDC37,-1,0,0,0,-1,0,-2,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,-1,0,1,0,0,-1,0,-1,-1,0,-1,-1,0,-1,2,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,0,1,0,1,1,1,-1,0,1,0,1,-1,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,-1
CDC42,0,-1,0,-1,-1,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,1,-1,0,1,0,0,-1,0,0,1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,0,-1,0,0,1,1,0,1,1,1,0,1,0,2,1,-1,1,0,0,0,0,-1,0,-1,-1,1,-1,1,0,0,-1,0,0,-1
CDH1,0,0,0,1,0,0,0,0,1,-1,0,0,1,-1,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,1,-2,0,1,1,1,1,-1,-1,0,-1,-1,1,1,0,0,0,1,0,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,2,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1
CDK1,0,-1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,-1,1,-1,0,-1,0,0,1,0,-1,0,0,0,0,0,0,1,1,-1,0,0,-1,1,0,0,1,1,1,1,0,0,1,2,0,1,0,2,1,0,-1,-1,1,-1,-1,-1,0,-1,0,-1,-1,0,1,-1,0,1,0,1,-1,0,-1,0,-1,-1,0,1,0,-1
CDK2,-1,0,1,-1,0,0,0,0,1,-1,0,0,1,1,0,-1,0,-1,0,-1,-1,0,0,0,-1,1,0,0,0,1,1,1,1,0,-1,-1,-1,-1,1,0,0,0,1,1,1,1,1,-1,-1,1,1,0,0,0,1,0,1,0,1,-1,0,0,0,0,-1,-1,-1,0,0,-1,0,1,-1,0,1,0,1,-1,1,0,-1,-1,0,1,0,1,0
CDK4,-1,0,1,-1,0,0,0,0,1,-1,0,0,1,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,1,0,0,0,1,1,1,1,0,0,-1,-1,-1,2,0,0,0,1,1,1,1,1,-1,-1,1,1,1,0,0,1,0,1,0,1,-1,0,0,0,0,-1,-1,-1,0,0,-1,0,1,-1,0,0,0,1,-1,1,0,-1,-1,0,1,0,1,0
